id,neighborhood,price,bedrooms,bathrooms,house_size,description,neighborhood_description
0,Green Oaks,800000,3,2,2000,"Welcome to this eco-friendly oasis nestled in the heart of Green Oaks. This charming 3-bedroom, 2-bathroom home boasts energy-efficient features such as solar panels and a well-insulated structure. Natural light floods the living spaces, highlighting the beautiful hardwood floors and eco-conscious finishes. The open-concept kitchen and dining area lead to a spacious backyard with a vegetable garden, perfect for the eco-conscious family. Embrace sustainable living without compromising on style in this Green Oaks gem.","Green Oaks is a close-knit, environmentally-conscious community with access to organic grocery stores, community gardens, and bike paths. Take a stroll through the nearby Green Oaks Park or grab a cup of coffee at the cozy Green Bean Cafe. With easy access to public transportation and bike lanes, commuting is a breeze."
1,Sunnyvale,950000,4,3,2500,"Beautiful 4-bedroom, 3-bathroom home in the desirable neighborhood of Sunnyvale. This spacious property features a modern kitchen, luxurious bathrooms, and a large backyard perfect for entertaining. Enjoy the sunny California weather in this stunning Sunnyvale home.","Sunnyvale is known for its top-rated schools, family-friendly community, and proximity to tech companies. Explore the nearby parks, restaurants, and shopping centers in this vibrant neighborhood."
2,Lakeview,700000,2,1,1500,"Cozy 2-bedroom, 1-bathroom home in the peaceful neighborhood of Lakeview. This charming property features a fireplace, hardwood floors, and a private backyard. Perfect for first-time homebuyers or those looking to downsize.",Lakeview offers a tranquil setting with scenic views of the lake and easy access to hiking trails. Enjoy the serenity of nature while still being close to downtown amenities.
3,Downtown,1200000,5,4,3500,"Luxurious 5-bedroom, 4-bathroom home in the heart of Downtown. This elegant property features high-end finishes, a gourmet kitchen, and a rooftop terrace with city views. Live in style in this sophisticated Downtown residence.","Downtown is a bustling urban neighborhood with a vibrant nightlife, trendy restaurants, and cultural attractions. Experience city living at its finest in this prime location."
4,Hillside,850000,3,2,2200,"Inviting 3-bedroom, 2-bathroom home in the scenic neighborhood of Hillside. This charming property features a wrap-around porch, vaulted ceilings, and a cozy fireplace. Enjoy the peaceful surroundings of Hillside in this lovely home.","Hillside offers stunning views of the mountains, hiking trails, and a sense of tranquility. Escape the hustle and bustle of the city in this serene neighborhood."
5,Waterfront,1500000,4,3,2800,"Stunning 4-bedroom, 3-bathroom waterfront home with panoramic views of the bay. This modern property features floor-to-ceiling windows, a gourmet kitchen, and a private dock. Live the waterfront lifestyle in this luxurious home.","Waterfront is a prestigious neighborhood known for its waterfront properties, marinas, and upscale dining options. Enjoy boating, fishing, and waterfront living in this exclusive community."
6,Mountain View,1000000,3,2,2000,"Charming 3-bedroom, 2-bathroom home in the sought-after neighborhood of Mountain View. This cozy property features a spacious backyard, updated kitchen, and hardwood floors. Experience the beauty of Mountain View in this lovely home.","Mountain View is a picturesque neighborhood with tree-lined streets, parks, and a strong sense of community. Explore the nearby hiking trails, farmers' markets, and tech companies in this vibrant neighborhood."
7,Oceanfront,2000000,5,4,4000,"Magnificent 5-bedroom, 4-bathroom oceanfront estate with breathtaking views of the Pacific Ocean. This luxurious property features a gourmet kitchen, infinity pool, and private beach access. Live the ultimate coastal lifestyle in this exclusive Oceanfront home.","Oceanfront is a prestigious neighborhood known for its multimillion-dollar estates, private beaches, and stunning ocean views. Experience luxury living at its finest in this coveted coastal community."
8,Historic District,750000,4,3,2300,"Historic 4-bedroom, 3-bathroom home in the charming Historic District. This restored property features original architectural details, a grand staircase, and a wrap-around porch. Step back in time in this elegant Historic District residence.","Historic District is a quaint neighborhood with tree-lined streets, historic homes, and a sense of nostalgia. Explore the historic landmarks, boutique shops, and local cafes in this unique neighborhood."
9,Riverside,900000,3,2,2100,"Riverside 3-bedroom, 2-bathroom home with a private backyard overlooking the river. This charming property features a sunroom, hardwood floors, and a cozy fireplace. Enjoy the peaceful sounds of the river in this serene Riverside home.","Riverside offers a tranquil setting with scenic views of the river, walking trails, and a sense of calm. Escape the city hustle in this peaceful riverside neighborhood."
10,Garden District,850000,4,3,2400,"Spacious 4-bedroom, 3-bathroom home in the lush Garden District. This beautiful property features a gourmet kitchen, formal dining room, and a landscaped backyard. Embrace the beauty of nature in this Garden District oasis.","Garden District is known for its tree-lined streets, botanical gardens, and historic homes. Explore the nearby parks, cafes, and farmers' markets in this green neighborhood."
11,Downtown Loft,700000,2,2,1800,"Modern 2-bedroom, 2-bathroom loft in the heart of Downtown. This stylish property features exposed brick walls, high ceilings, and industrial accents. Live in the heart of the city in this chic Downtown loft.","Downtown is a vibrant urban neighborhood with trendy restaurants, art galleries, and cultural events. Experience city living at its best in this Downtown loft."
12,Lakefront Retreat,1200000,3,3,2600,"Tranquil 3-bedroom, 3-bathroom lakefront retreat with stunning views of the lake. This peaceful property features a wrap-around deck, vaulted ceilings, and a cozy fireplace. Escape to the lakefront in this serene retreat.","Lakefront is a serene neighborhood with scenic views of the lake, walking trails, and a sense of tranquility. Enjoy the beauty of nature in this peaceful lakefront community."
